"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3983","Login page title test","chromium","2026-08-22","passed","2026-08-22","","loginpage.spec.ts","",""
"","7663","forgot pwd link exist test","chromium","2026-08-22","passed","2026-08-22","","loginpagefix.spec.ts","",""
"","5652","forgot pwd link exist test","chromium","2026-08-22","passed","2026-08-22","","loginpage.spec.ts","",""
"","8723","Home Page headers exist test","chromium","2026-08-22","passed","2026-08-22","","homepagefix.spec.ts","",""
"","8917","Logout link exist test","chromium","2026-08-22","passed","2026-08-22","","homepagefix.spec.ts","",""
"","16913","Home page title test","chromium","2026-08-22","passed","2026-08-22","","homepage.spec.ts","",""
"","7306","user is able to login to app test","chromium","2026-08-22","passed","2026-08-22","","loginpagefix.spec.ts","",""
"","15958","Home page title test","chromium","2026-08-22","passed","2026-08-22","","homepagefix.spec.ts","",""
"","7966","user is able to login to app test","chromium","2026-08-22","passed","2026-08-22","","loginpage.spec.ts","",""
"","6242","Login page title test","chromium","2026-08-22","passed","2026-08-22","","loginpagefix.spec.ts","",""
"","15371","Home Page headers exist test","chromium","2026-08-22","passed","2026-08-22","","homepage.spec.ts","",""
"","14399","Logout link exist test","chromium","2026-08-22","passed","2026-08-22","","homepage.spec.ts","",""
